local;type;surface;nbpiece;prix
2083;0;523.0;6;980000
2083;1;151.0;3;375000
4216;1;207.0;3;380000
2083;0;445.0;3;950000
2083;1;179.0;3;349000
2083;1;110.0;3;255000
2036;0;260.0;3;790000
1100;1;158.0;3;535000
2036;0;220.0;4;750000
2036;1;373.0;4;1290000
2092;0;402.0;2;1050000
2091;1;155.0;3;385000
2091;1;223.0;4;560000
2083;1;223.0;4;448000
4216;1;187.0;5;430100
2091;1;141.0;3;380000
4216;1;162.0;3;386400
4216;1;113.0;3;260000
2083;1;166.0;3;345000
2060;1;200.0;2;495000
2080;0;490.0;2;700000
1100;1;155.0;3;370000
2091;1;182.0;4;400000
2036;1;243.0;3;630000
1053;1;131.0;4;650000
4216;1;160.0;3;350000
2083;1;181.0;3;460000
2036;1;187.0;3;370000
2036;0;1.3;4;1250000
2036;1;192.0;4;460000
1057;0;330.0;5;1090000
1053;1;156.0;3;655000
2034;0;536.0;2;1100000
1057;1;378.0;3;1280000
2083;1;163.0;3;385000
2091;1;105.0;4;195000
2016;1;186.0;2;507000
2083;0;780.0;2;1590000
2036;0;530.0;2;1290000
2036;0;232.0;3;700000
2091;1;175.0;4;415000
1053;1;117.0;2;480000
2036;0;240.0;2;650000
2083;0;550.0;2;1150000
2036;0;350.0;4;1680000
2083;1;160.0;3;395000
2092;0;300.0;2;570000
2036;0;440.0;2;900000
1057;0;1.039;4;2400000
2091;1;155.0;4;265000
2092;1;190.0;4;480000
2014;0;808.0;2;1050000
2070;1;124.0;2;285000
2091;1;157.0;4;435000
2015;1;102.0;2;185000
1057;1;324.0;2;1650000
2083;1;85.0;2;189000
2092;1;136.0;3;240000
2091;1;123.0;3;340000
2083;1;161.0;3;305000
2016;1;292.0;3;1480000
4216;1;104.0;2;255000
2092;0;350.0;3;1350000
2092;0;376.0;2;900000
2092;1;152.0;4;350000
4216;1;97.0;2;250000
2091;0;213.0;2;305000
2036;1;123.0;2;327500
2036;1;170.0;3;506000
2083;1;55.0;1;155000
2015;1;103.0;2;280000
2092;1;220.0;5;530000
2092;1;140.0;3;240000
2097;0;500.0;2;1090000
2080;1;184.0;5;398000
2097;0;500.0;2;530000
2016;0;300.0;2;950000
2083;1;203.0;3;585000
2091;0;413.0;2;950000
